elapsed.ps,repeats.n,param.array.array,param.index.integer
18857,100000,array<integer>[100],62
21241,100000,array<integer>[100],6
19416,100000,array<integer>[100],90
25710,100000,array<integer>[100],25
25217,100000,array<integer>[100],92
19862,100000,array<integer>[100],98
16846,100000,array<integer>[100],15
24584,100000,array<integer>[100],48
16836,100000,array<integer>[100],34
15872,100000,array<integer>[100],40
16895,100000,array<integer>[100],73
16077,100000,array<integer>[100],38
16096,100000,array<integer>[100],25
19584,100000,array<integer>[100],90
16449,100000,array<integer>[100],34
20393,100000,array<integer>[100],59
17305,100000,array<integer>[100],34
17001,100000,array<integer>[100],19
16809,100000,array<integer>[100],20
17069,100000,array<integer>[100],77
20571,100000,array<integer>[100],51
17194,100000,array<integer>[100],92
24805,100000,array<integer>[100],29
17167,100000,array<integer>[100],68
20541,100000,array<integer>[100],26
24392,100000,array<integer>[100],94
19367,100000,array<integer>[100],30
16695,100000,array<integer>[100],94
16487,100000,array<integer>[100],10
16991,100000,array<integer>[100],67
18497,100000,array<integer>[100],46
17961,100000,array<integer>[100],66
18311,100000,array<integer>[100],58
21440,100000,array<integer>[100],41
18427,100000,array<integer>[100],26
16810,100000,array<integer>[100],41
24429,100000,array<integer>[100],44
20814,100000,array<integer>[100],56
16499,100000,array<integer>[100],27
22352,100000,array<integer>[100],29
19822,100000,array<integer>[100],44
23321,100000,array<integer>[100],61
25268,100000,array<integer>[100],19
24158,100000,array<integer>[100],34
18451,100000,array<integer>[100],97
16815,100000,array<integer>[100],47
17162,100000,array<integer>[100],95
17741,100000,array<integer>[100],57
19249,100000,array<integer>[100],67
17448,100000,array<integer>[100],88
22090,100000,array<integer>[100],2
17286,100000,array<integer>[100],70
17359,100000,array<integer>[100],3
18903,100000,array<integer>[100],42
16147,100000,array<integer>[100],60
16581,100000,array<integer>[100],35
17628,100000,array<integer>[100],89
20035,100000,array<integer>[100],47
16704,100000,array<integer>[100],18
20577,100000,array<integer>[100],7
17163,100000,array<integer>[100],70
16695,100000,array<integer>[100],91
19705,100000,array<integer>[100],54
17313,100000,array<integer>[100],85
17286,100000,array<integer>[100],30
16869,100000,array<integer>[100],47
18424,100000,array<integer>[100],10
17466,100000,array<integer>[100],30
17778,100000,array<integer>[100],76
21329,100000,array<integer>[100],39
16360,100000,array<integer>[100],52
18306,100000,array<integer>[100],88
20164,100000,array<integer>[100],21
16966,100000,array<integer>[100],51
16781,100000,array<integer>[100],43
16639,100000,array<integer>[100],28
17944,100000,array<integer>[100],17
16685,100000,array<integer>[100],52
21672,100000,array<integer>[100],6
17961,100000,array<integer>[100],76
16714,100000,array<integer>[100],24
16603,100000,array<integer>[100],61
16225,100000,array<integer>[100],55
18083,100000,array<integer>[100],15
16552,100000,array<integer>[100],22
17846,100000,array<integer>[100],81
21178,100000,array<integer>[100],39
23674,100000,array<integer>[100],73
20195,100000,array<integer>[100],58
17356,100000,array<integer>[100],22
18409,100000,array<integer>[100],5
17096,100000,array<integer>[100],28
16865,100000,array<integer>[100],45
17436,100000,array<integer>[100],77
16820,100000,array<integer>[100],5
16461,100000,array<integer>[100],5
16779,100000,array<integer>[100],14
17593,100000,array<integer>[100],43
16613,100000,array<integer>[100],63
16435,100000,array<integer>[100],29
16871,100000,array<integer>[100],34
18764,100000,array<integer>[100],17
19933,100000,array<integer>[100],24
18801,100000,array<integer>[100],6
22589,100000,array<integer>[100],18
17269,100000,array<integer>[100],1
17153,100000,array<integer>[100],1
21200,100000,array<integer>[100],69
20830,100000,array<integer>[100],69
17668,100000,array<integer>[100],11
16872,100000,array<integer>[100],88
16209,100000,array<integer>[100],23
16703,100000,array<integer>[100],25
16726,100000,array<integer>[100],44
17655,100000,array<integer>[100],69
19603,100000,array<integer>[100],96
16378,100000,array<integer>[100],80
16467,100000,array<integer>[100],45
24333,100000,array<integer>[100],30
24375,100000,array<integer>[100],77
24856,100000,array<integer>[100],22
23903,100000,array<integer>[100],22
18313,100000,array<integer>[100],79
17612,100000,array<integer>[100],37
16546,100000,array<integer>[100],91
16657,100000,array<integer>[100],29
16586,100000,array<integer>[100],79
24224,100000,array<integer>[100],67
21290,100000,array<integer>[100],26
17388,100000,array<integer>[100],39
24711,100000,array<integer>[100],54
24478,100000,array<integer>[100],97
22897,100000,array<integer>[100],98
16539,100000,array<integer>[100],82
16953,100000,array<integer>[100],9
16818,100000,array<integer>[100],46
23292,100000,array<integer>[100],87
24443,100000,array<integer>[100],32
22613,100000,array<integer>[100],33
19913,100000,array<integer>[100],86
18800,100000,array<integer>[100],79
17226,100000,array<integer>[100],85
17327,100000,array<integer>[100],96
16367,100000,array<integer>[100],10
16054,100000,array<integer>[100],15
17807,100000,array<integer>[100],31
18327,100000,array<integer>[100],49
16531,100000,array<integer>[100],65
16327,100000,array<integer>[100],38
17070,100000,array<integer>[100],10
16829,100000,array<integer>[100],55
19524,100000,array<integer>[100],50
18935,100000,array<integer>[100],69
16002,100000,array<integer>[100],76
16773,100000,array<integer>[100],4
16653,100000,array<integer>[100],43
17770,100000,array<integer>[100],77
16649,100000,array<integer>[100],89
23439,100000,array<integer>[100],81
16906,100000,array<integer>[100],31
16732,100000,array<integer>[100],100
18714,100000,array<integer>[100],52
18157,100000,array<integer>[100],69
18534,100000,array<integer>[100],14
22794,100000,array<integer>[100],33
16213,100000,array<integer>[100],42
16785,100000,array<integer>[100],79
16923,100000,array<integer>[100],19
20154,100000,array<integer>[100],53
25400,100000,array<integer>[100],92
23711,100000,array<integer>[100],72
18831,100000,array<integer>[100],19
17010,100000,array<integer>[100],93
17079,100000,array<integer>[100],46
18235,100000,array<integer>[100],15
16137,100000,array<integer>[100],50
16152,100000,array<integer>[100],19
16406,100000,array<integer>[100],27
18325,100000,array<integer>[100],36
16367,100000,array<integer>[100],29
17129,100000,array<integer>[100],64
21504,100000,array<integer>[100],94
18129,100000,array<integer>[100],64
23302,100000,array<integer>[100],49
19572,100000,array<integer>[100],60
16527,100000,array<integer>[100],32
16460,100000,array<integer>[100],77
20431,100000,array<integer>[100],93
18823,100000,array<integer>[100],99
18139,100000,array<integer>[100],25
17328,100000,array<integer>[100],17
18629,100000,array<integer>[100],89
16708,100000,array<integer>[100],100
