runner.index.n,runner.baseline.ps,elapsed.ps,repeats.n,param.n.integer,param.v.integer,param.field.integer,param.width.integer
6,3583,34666,250000,2766353147,2771760161,14,2
6,3535,33316,250000,3775586173,3780219024,12,3
6,3667,33996,250000,1673449391,523264380,10,6
6,3592,33511,250000,4033471297,2378434077,8,13
6,3563,32112,250000,4152545110,1637061157,2,12
6,3594,35464,250000,3668620742,894341944,15,13
6,3841,34148,250000,1933767306,207340149,2,15
6,3672,35282,250000,230532230,2732866881,1,13
6,3444,31835,250000,1137652305,4256074930,12,3
6,3722,33683,250000,178023896,2390820593,7,3
6,3690,37467,250000,2712607318,2707099321,2,12
6,3513,34636,250000,1761937803,4102309119,9,10
6,3733,33304,250000,784685115,4146015915,8,4
6,3612,40848,250000,1512628964,3151657556,9,3
6,3728,32836,250000,3689652451,2002631863,0,3
6,3604,35373,250000,2536028390,1588508488,4,5
6,3603,31921,250000,3625598597,2226981121,0,1
6,3631,32524,250000,4200196999,2173968611,4,5
6,3777,32723,250000,1811407401,698069743,7,6
6,3611,33559,250000,2972248648,3074086887,2,5
6,3579,32557,250000,3880187206,1548226379,13,1
6,3846,33562,250000,1503638784,525157646,6,9
6,3795,33926,250000,1924720478,1712876294,7,5
6,3551,33009,250000,4019674330,34432782,9,6
6,3769,32872,250000,3062371961,3952583022,12,12
6,3583,31654,250000,2415905653,1559554257,0,10
6,3830,33602,250000,3503530263,1419458954,9,2
6,3737,33416,250000,3060893837,500476506,5,8
6,3715,38955,250000,271902886,1009831603,1,9
6,3606,33773,250000,2185981809,337821733,14,7
6,3731,33461,250000,183557260,1040276677,5,16
6,3663,31831,250000,1207517471,897205921,8,14
6,3721,33373,250000,3535008712,1753132200,7,10
6,3512,37201,250000,1210441659,987673992,13,1
6,3601,34481,250000,3625850610,574295821,13,13
