runner.index.n,runner.baseline.ps,elapsed.ps,repeats.n,param.r.float,param.g.float,param.b.float
2,5013,74476,50000,0.2889390853170803,0.8973190569423221,0.478131397502326
2,5162,75032,50000,0.9353609178801956,0.2423222999267809,0.4968831947408967
2,5014,73925,50000,0.1883701416697567,0.960629766046247,0.1856908719303646
2,5012,73507,50000,0.05823690706036948,0.945917459065451,0.29980926916901746
2,5492,74303,50000,0.8831985836181097,0.5838761859891585,0.12388747326144928
2,5015,74487,50000,0.5026505473970986,0.06971971526881127,0.4472915375878841
2,5014,75325,50000,0.9941019869661779,0.9249964509267447,0.9109904281313129
2,5241,74554,50000,0.5591860696194249,0.8612576631291992,0.7466458704030624
2,5015,74342,50000,0.23359752644892096,0.07317354725973957,0.061477161949668756
2,5015,74029,50000,0.9683983088174644,0.3658606618873569,0.5531793630425275
2,5015,75845,50000,0.9539386795297728,0.34290382007026116,0.5107617328005507
2,5015,75287,50000,0.6407450827456298,0.18656065853694118,0.7880784609657817
2,5015,76436,50000,0.1731029030285019,0.7222105610028866,0.3711014675446726
2,5234,75280,50000,0.39275134796351974,0.60613658239469,0.33315271557897663
2,5015,75136,50000,0.8858885911325132,0.3072802852744526,0.9244448089825225
2,5016,75535,50000,0.9487316076088106,0.6009128076943937,0.9676762312956592
2,5505,75080,50000,0.22861660201646444,0.5625774537514873,0.11134336373310316
2,5015,75183,50000,0.5546711887081175,0.12209615165157062,0.5238872568922661
2,5014,74435,50000,0.6151393053732177,0.7226296767663279,0.8168984577174642
2,5199,75387,50000,0.6928062615265225,0.27380521030233423,0.3991320649595024
2,5014,75022,50000,0.39359156976214593,0.9097124553674973,0.5154164354507476
2,5014,75198,50000,0.016067134190735015,0.9711796965317712,0.2884440182012455
2,5517,74460,50000,0.25186640964965656,0.2544476395424269,0.6394031750009667
2,5015,75179,50000,0.3496002614293311,0.7160345442426069,0.5712563244389901
2,5015,74973,50000,0.482484417384246,0.761933064936609,0.1662830352520917
2,5155,74349,50000,0.8731347326490498,0.8664755604822753,0.9358274328422688
2,5013,74498,50000,0.4764330127291833,0.6747685698100763,0.5099035470663776
2,5015,76204,50000,0.0888120238352973,0.19824274827992144,0.11402711896520464
2,5604,74429,50000,0.4103792244954983,0.3301220380958493,0.4756918928705448
2,5016,74896,50000,0.19290491476078211,0.2830731606921412,0.5782177403637362
2,5014,74560,50000,0.7723660730683044,0.764853974910019,0.3481016405229846
3,4029,71801,50000,0.9987100473720208,0.5864237653061485,0.7929788152268834
3,4150,82909,50000,0.7600485169124309,0.0963610938968775,0.35418481039802624
3,4590,90565,50000,0.5553408290157115,0.5080753796908473,0.03425213551776474
3,3926,75507,50000,0.7410593660476876,0.6352561511331567,0.5153613439891302
3,3933,72118,50000,0.510318427422049,0.4526034184163436,0.34622532595583355
3,3944,63713,50000,0.10267855876812021,0.4015488138326257,0.4249128221610791
3,3923,71525,50000,0.9387271743515492,0.0893103482695663,0.8916166597777377
3,4145,83174,50000,0.3766045227781747,0.9749234040141769,0.6193715678946832
3,4337,78668,50000,0.3717443635815686,0.925153319430983,0.6087115461877308
3,3988,71521,50000,0.22066939606703714,0.4299341945229619,0.21344009180616988
3,5543,74343,50000,0.43767776471281394,0.2494379565705397,0.28432311022506396
3,4128,81707,50000,0.4462033164032308,0.7619263274250471,0.22234531067319
3,3909,74647,50000,0.8468718000004432,0.45217990307492395,0.6311479381615803
3,4165,73592,50000,0.5866012348272246,0.3613789229521338,0.7720216932711379
3,4863,80199,50000,0.46444055629014624,0.19917457447403444,0.15493209345099693
3,4013,72664,50000,0.27782248853260094,0.31137190956704214,0.9178439151953057
3,4114,74376,50000,0.6985328284201382,0.06185904853090238,0.41761362305232697
3,4705,77370,50000,0.21880651519871094,0.7667154602824384,0.7588570467463065
3,3921,78783,50000,0.7865921380367223,0.38105897111428527,0.7309652921403652
3,4003,73430,50000,0.5622185011386428,0.9996347611855486,0.7766992538270994
3,4166,72315,50000,0.8895735416471718,0.2900919064641711,0.648220239053451
3,4277,64613,50000,0.9366468424496633,0.23169393927803877,0.22435459935244578
3,4531,83949,50000,0.6879747592299164,0.6060459339025502,0.7003758354199396
3,3939,75325,50000,0.9838593362976144,0.9496690299194602,0.6691384515896422
3,4304,81842,50000,0.1776923089886012,0.22615101910357652,0.13479981638091743
3,4173,78245,50000,0.8302397426984821,0.9653032788361712,0.7977992005918729
3,4321,84175,50000,0.2918994656036423,0.13851942312688423,0.014945110804862249
3,4157,76751,50000,0.19641707388922813,0.40591489680706433,0.12291956995119112
3,4312,84086,50000,0.6083184417893879,0.438759542344713,0.9717461979013974
3,4288,81559,50000,0.015232595260150316,0.24498200775563694,0.05527815458831857
3,3898,67564,50000,0.9757572911497876,0.12647394471311632,0.25809144798808326
