elapsed.ps,repeats.n,param.array.array
21641,100000,array<integer>[3]
21393,100000,array<integer>[3]
21987,100000,array<integer>[3]
21869,100000,array<integer>[3]
22191,100000,array<integer>[3]
21848,100000,array<integer>[3]
21516,100000,array<integer>[3]
21760,100000,array<integer>[3]
21666,100000,array<integer>[3]
21407,100000,array<integer>[3]
22071,100000,array<integer>[3]
21756,100000,array<integer>[3]
21762,100000,array<integer>[3]
21493,100000,array<integer>[3]
21431,100000,array<integer>[3]
21990,100000,array<integer>[3]
21746,100000,array<integer>[3]
22121,100000,array<integer>[3]
21821,100000,array<integer>[3]
21949,100000,array<integer>[3]
21779,100000,array<integer>[3]
22057,100000,array<integer>[3]
21898,100000,array<integer>[3]
21846,100000,array<integer>[3]
21743,100000,array<integer>[3]
21691,100000,array<integer>[3]
21808,100000,array<integer>[3]
24161,100000,array<integer>[3]
22111,100000,array<integer>[3]
21632,100000,array<integer>[3]
21495,100000,array<integer>[3]
21755,100000,array<integer>[3]
22216,100000,array<integer>[3]
22412,100000,array<integer>[3]
21591,100000,array<integer>[3]
21484,100000,array<integer>[3]
21472,100000,array<integer>[3]
22020,100000,array<integer>[3]
21670,100000,array<integer>[3]
25523,100000,array<integer>[3]
21826,100000,array<integer>[3]
22515,100000,array<integer>[3]
22110,100000,array<integer>[3]
21519,100000,array<integer>[3]
22890,100000,array<integer>[3]
23686,100000,array<integer>[3]
21817,100000,array<integer>[3]
21119,100000,array<integer>[3]
21687,100000,array<integer>[3]
21623,100000,array<integer>[3]
22469,100000,array<integer>[3]
22272,100000,array<integer>[3]
22030,100000,array<integer>[3]
21527,100000,array<integer>[3]
21584,100000,array<integer>[3]
21416,100000,array<integer>[3]
22612,100000,array<integer>[3]
21658,100000,array<integer>[3]
21526,100000,array<integer>[3]
21890,100000,array<integer>[3]
21546,100000,array<integer>[3]
21129,100000,array<integer>[3]
21861,100000,array<integer>[3]
21872,100000,array<integer>[3]
21893,100000,array<integer>[3]
22064,100000,array<integer>[3]
21603,100000,array<integer>[3]
21424,100000,array<integer>[3]
21598,100000,array<integer>[3]
21948,100000,array<integer>[3]
21513,100000,array<integer>[3]
22451,100000,array<integer>[3]
21575,100000,array<integer>[3]
21556,100000,array<integer>[3]
21399,100000,array<integer>[3]
21386,100000,array<integer>[3]
22145,100000,array<integer>[3]
24273,100000,array<integer>[3]
21563,100000,array<integer>[3]
21799,100000,array<integer>[3]
22180,100000,array<integer>[3]
21760,100000,array<integer>[3]
22644,100000,array<integer>[3]
22754,100000,array<integer>[3]
21705,100000,array<integer>[3]
21917,100000,array<integer>[3]
21756,100000,array<integer>[3]
21774,100000,array<integer>[3]
21755,100000,array<integer>[3]
21344,100000,array<integer>[3]
21436,100000,array<integer>[3]
21659,100000,array<integer>[3]
22212,100000,array<integer>[3]
21460,100000,array<integer>[3]
24445,100000,array<integer>[3]
21746,100000,array<integer>[3]
21613,100000,array<integer>[3]
21349,100000,array<integer>[3]
21660,100000,array<integer>[3]
21689,100000,array<integer>[3]
23654,100000,array<integer>[3]
21807,100000,array<integer>[3]
22207,100000,array<integer>[3]
21694,100000,array<integer>[3]
21691,100000,array<integer>[3]
21502,100000,array<integer>[3]
22243,100000,array<integer>[3]
21405,100000,array<integer>[3]
21684,100000,array<integer>[3]
21375,100000,array<integer>[3]
21495,100000,array<integer>[3]
21327,100000,array<integer>[3]
28173,100000,array<integer>[3]
30741,100000,array<integer>[3]
22170,100000,array<integer>[3]
21463,100000,array<integer>[3]
22506,100000,array<integer>[3]
22928,100000,array<integer>[3]
21730,100000,array<integer>[3]
21820,100000,array<integer>[3]
22533,100000,array<integer>[3]
21980,100000,array<integer>[3]
23438,100000,array<integer>[3]
23298,100000,array<integer>[3]
30963,100000,array<integer>[3]
30982,100000,array<integer>[3]
21605,100000,array<integer>[3]
21989,100000,array<integer>[3]
24690,100000,array<integer>[3]
21390,100000,array<integer>[3]
21725,100000,array<integer>[3]
21790,100000,array<integer>[3]
21533,100000,array<integer>[3]
21951,100000,array<integer>[3]
22161,100000,array<integer>[3]
21531,100000,array<integer>[3]
21628,100000,array<integer>[3]
22096,100000,array<integer>[3]
21328,100000,array<integer>[3]
24875,100000,array<integer>[3]
21806,100000,array<integer>[3]
21868,100000,array<integer>[3]
21366,100000,array<integer>[3]
21707,100000,array<integer>[3]
21275,100000,array<integer>[3]
23214,100000,array<integer>[3]
