runner.index.n,runner.baseline.ps,elapsed.ps,repeats.n,param.len.integer
8,3261,60773,10000,131
8,3290,86704,10000,331
8,3326,154381,10000,724
8,3306,100130,10000,307
8,3327,153503,10000,804
8,3261,67718,10000,236
8,3348,80755,10000,347
8,3259,133299,10000,1015
8,3257,92337,10000,459
8,3260,126405,10000,863
8,3257,56356,10000,134
8,3261,59546,10000,149
8,3258,189641,10000,1021
8,3281,85615,10000,429
8,3266,44760,10000,33
8,3261,114251,10000,706
8,3259,101831,10000,600
8,3259,120792,10000,829
8,3362,83428,10000,324
8,3279,53937,10000,106
8,3268,79300,10000,341
8,3271,97205,10000,494
8,3259,116705,10000,752
8,3270,109151,10000,710
8,3257,111469,10000,724
9,3480,200983,10000,877
9,3450,65051,10000,25
9,3416,108912,10000,279
9,3429,85981,10000,147
9,3738,97656,10000,218
9,3379,179275,10000,791
9,3467,173184,10000,725
9,3448,173465,10000,707
9,3483,149178,10000,485
9,3423,100472,10000,112
9,3372,185473,10000,757
9,3491,185922,10000,830
9,3395,146922,10000,506
9,3964,146583,10000,493
9,3405,133248,10000,442
9,3429,79132,10000,65
9,3492,76242,10000,50
9,3820,85253,10000,85
9,3473,151271,10000,555
9,3440,210567,10000,945
9,3386,196545,10000,896
9,3379,159776,10000,689
9,3959,199915,10000,931
9,3485,206456,10000,952
9,3490,102290,10000,145
9,3418,171477,10000,574
9,3389,94393,10000,138
9,3439,143077,10000,429
9,3463,200773,10000,837
9,3456,127322,10000,384
9,3439,245853,10000,943
9,3389,110153,10000,246
9,3465,170711,10000,690
9,3517,171796,10000,771
9,3416,128997,10000,405
9,3389,94298,10000,154
9,3391,91627,10000,160
9,3415,75212,10000,58
9,3389,211936,10000,966
9,3547,190193,10000,835
9,3440,166254,10000,701
9,3465,191195,10000,872
9,3471,199710,10000,908
9,3454,141611,10000,508
9,3433,135600,10000,408
9,3377,207461,10000,937
9,3378,73268,10000,55
9,3419,66981,10000,61
9,3678,135656,10000,454
9,3423,206666,10000,900
9,3379,159481,10000,652
9,3720,113939,10000,280
