elapsed.ps,repeats.n,param.a.integer,param.b.integer
16822,100000,-1900530108635716,4445306700051778
18583,100000,-8497443254088744,2268381014501720
18228,100000,-778790379046828,3219281721666074
16430,100000,4627879282396521,5454669882451213
20735,100000,3336562263220115,1166583429505128
15722,100000,359483648557863,5057812372309740
16379,100000,6161307009892910,6265709017121241
16449,100000,547018645349438,-1508979766027733
19030,100000,5487381869607623,-1274394724233702
16669,100000,-1209693943626630,-2530559297486109
16316,100000,-1097366149048306,-3299721859741011
16037,100000,172230574403448,5705285150542658
16786,100000,-4214291752333120,-2428402060363933
16447,100000,8276712388532751,-7491111211409047
16737,100000,7242711410332491,-2396501644682576
17957,100000,-1622618562796409,-7999619630102251
17374,100000,-1004769435053826,3776228377230741
17241,100000,1208048756328973,2836128915612114
17596,100000,-8350181492403612,5350253445991784
16030,100000,-6776459334493787,5180976174043913
16702,100000,405209410567720,-1514563994515333
16948,100000,-3289455513265515,-5659845345685775
16229,100000,-7976020227487638,331559055277850
17869,100000,2125018628039369,-8898976726980794
17476,100000,-3297802176631364,791034580958052
17382,100000,6947716251179868,-8248432617734885
16548,100000,-4327968303943726,-8655066558149950
16664,100000,2052701580991653,-1890504803283037
16973,100000,1140711677163943,-7585860443460996
21342,100000,-1928965213803964,5529888159267661
18904,100000,-8865086107618048,-3664968925909329
15809,100000,-4191889090682768,3610618078920292
16600,100000,6784863451235649,-6026364861664648
16715,100000,1942307352625712,-863369746310507
16281,100000,736022984589609,4889541528569313
15552,100000,-3786004685121404,-2220906901700625
18332,100000,2456516913558200,4413618346661658
16630,100000,7677260645249370,2456401435492827
18199,100000,-6056633125320727,-5366260491619083
17171,100000,2414669654093956,-1589300307450944
16181,100000,-728824254307879,7985475453595828
16827,100000,-2808981460904560,-6803309461939727
16956,100000,6996248390090484,-6632618997751120
17868,100000,-5526676197671856,-6441253742847028
16562,100000,-7125550015296269,-7069335156064180
19079,100000,4133110136192895,-3880430019812142
17472,100000,8089590136500258,-3784275607952316
19575,100000,-4913578967357122,-544977762112864
16184,100000,-3104977002259013,1401975476654915
16299,100000,3675993776274652,-6421488996152310
15316,100000,5112608366263018,7413630462161883
16602,100000,-2902328562680886,-7968679416934958
16688,100000,-2193323645974963,-4331301442471098
16625,100000,-4974575101962550,-7077088487975338
16462,100000,4605098889834009,-2512481949989047
16639,100000,4350686818034974,3968740037789842
17061,100000,6021494917639363,-5988663393516848
17993,100000,6579081406314393,-3178655465094658
16275,100000,-8605981484371513,-1045524099834965
17471,100000,-7825028634541293,4949785585132074
16830,100000,55765066687832,169826823095488
16860,100000,368773383778906,-3141271958177636
16629,100000,8236331375909703,-8700566602069948
16556,100000,1531297567952987,4898008922390980
18267,100000,6442057848683415,4583017625371559
16848,100000,-1125755611666765,-3108618346406378
16700,100000,3685910008562691,-8958243883138869
16132,100000,-2869444887026365,1059026566063874
16286,100000,82716241514827,6862229324051866
16444,100000,-6059839800586984,2261187498527607
16771,100000,7361750521978757,8491325030688929
16618,100000,4011307068809880,555041342237028
17035,100000,3819041596168344,-4840232869706044
16049,100000,-5975738574457129,1652114185377531
16629,100000,-8200731256330912,-8198848583508333
16077,100000,6130421657065932,8559390067334339
16794,100000,117772997548766,-6005059318653232
15988,100000,-618407113634215,3967410557877983
20216,100000,-4649520352507673,5436323815479378
16546,100000,1147606588601034,2380856645284810
16151,100000,-8706091394464512,2883166070202275
15561,100000,-8026836356843596,5332334873371206
17274,100000,-3028966190691010,-4861118198093590
16748,100000,8966706632842431,-6208279047825561
16378,100000,5454119070920261,6952503725656099
17036,100000,1770821322260616,-5780458035640618
16311,100000,-279311173150619,-8355074807761303
16703,100000,7049020949281182,-8596406404008788
16704,100000,2818153978967044,-5144678355258358
16560,100000,-3566228315244540,-8004719308494626
16423,100000,-8118704322727323,-1227137059152146
16467,100000,-8869688757500055,-8964632837498497
15711,100000,-5372772408892230,3306378366161201
16910,100000,6775846492659418,1467896353462903
16032,100000,-3681145780958191,2067399088187711
16404,100000,-3897310680344800,-3475392752901761
16456,100000,5065482002396394,1102135123027889
16267,100000,-2616087447621786,4148367898618555
16039,100000,246589962338571,3823917478615518
16728,100000,1491039875747044,3021271421111958
16128,100000,-3100575071855590,551671057972971
15910,100000,-6629073194802195,4191088813218443
19359,100000,-8195412440497876,-1262720492989558
16155,100000,7431553033461678,-2508253442115204
16664,100000,5769154815715542,-3940411275221701
16742,100000,-3839722586673676,-4617517469536247
23225,100000,7084050441690939,-15694114004409
20578,100000,4556886262970903,1283746783800771
16276,100000,4744739132920818,3855662013936985
20206,100000,-6573724532537829,-8851987988886443
16390,100000,4541677299767918,-8401496616046115
15716,100000,-4132417974842250,5760833980878364
20863,100000,6529585036614791,-2690150706605653
19345,100000,1046002082408256,4687648547622171
17147,100000,-3777397633803887,-7082933487214447
22311,100000,-6031021293102692,-2874046695637911
16239,100000,-5476607593807364,-742356279688605
16733,100000,5127140100830159,-5488407698580837
16153,100000,-4166897759709898,4375516913219217
21752,100000,-505676371480217,8275082425142538
18840,100000,3330755550807580,-6481028400359721
16193,100000,-5410209461474636,3283038185585428
16197,100000,3570924465823431,4921686553913335
16241,100000,6812991460586088,3296448703034771
16653,100000,5308655926196909,-6158689932501506
16782,100000,-3564536336934621,3797813305505651
20207,100000,1539880716740005,-680619232631573
16277,100000,-8623141454591061,8609254701959954
15851,100000,-7301337059196381,-4958125289897476
21434,100000,-1459907713467960,-5094255429102671
17199,100000,-5137013452266510,-315953559052652
16058,100000,-2212788936478046,615430024501903
18816,100000,2128916453338496,7024799497826665
20760,100000,-4469910649983430,-888921030490446
16807,100000,-2128550693955709,-8067105583357569
15834,100000,5458533747698376,7735897664261433
16322,100000,-4779837323708285,-4275168957257418
17193,100000,-1452864473147726,7628871593402033
16820,100000,-752062590888478,-2132365471589466
19971,100000,2330510249599787,1111440306235908
21194,100000,-7174363202399659,-3755052235305022
16210,100000,-8252242712167830,2381198447531305
16597,100000,-3812351097096736,-4442095781538615
